Months,Date,Festivals,MTD Sale
Jan 2024   (4 Weekends),01.01.2024,New Year,1358778
,14.01.2024,Makar Sankarati,26259405
,15.01.2024,Pongal,27842442
,16.01.2024,Mattu Ponagal,29470028
,17.01.2024,Thituvalluvar Day,31588147
,25.01.2024,Thai poosam,47887520
,26.01.2024,Republi Day,50313362
Feb 2024 (3 Weekends),14.02.2024,Valatines Days,29808121
,15.02.2024,10TH & 12 TH Started Exam,31383987
,19.02.2024,CBSC Exam Started,41240309
March 2024 (5 Weekends),01.03.2024,12TH Exam Started,1634619
,11.03.2024,Ramzan Started,20354098
,13.03.2024,10TH CBSC Exam Ends,23067603
,22.03.2024,TN 12TH Exam Ends,40267222
,25.03.2024,Holi,47513888
,26.03.2024,TN 10TH Exam Started,48752172
,28.03.2024,Lent Fasting,51946511
,29.03.2024,Fasting,54145228
April 2024 (4 Weekends),01.04.2024,College Semester Stated,1985512
,04.04.2024,CBSC Exam Ends 12TH,6996202
,08.04.2024,10Th TN Exam Ends,16269189
,09.04.2024,Ugadhi,17870822
,10.04.2024,Ramzan Ends,19804738
,13.04.2024 ,Exam Ends,27624191
,14.04.2024,Tamil New Year,30287436
,15.04.2024,Summar Holiday Begin,31819730
,21.04.2024,Maha Veer Jayanthi,46697046
,30.04.2024,College Semester Ends,63796219
May (4 Weeekends),01.05.2024,Labours Day,3015944
,10.05.2024,Akshathirthi,20787572
,12.05.2024,Mothers Day,26788741
June (5 Weekends),03.06.2024,School Starts,8050865
,17.06.2024,Bakrid,41130027
July 2024 (4 Weekends),15.07.2024,Aadi Started,34341612
,17.07.2024,Muharam Aadi Month Started,37395601
August (5 Weekends),15.08.2024,Independence Day,35952036
,16.08.2024,Aadi ends,38022181
,26.08.2024,Krishna Jayanthi,62404521
September (Four Weekends),05.09.2024,Teachers Day,12303408
,07.09.2024,Ganesh Chathuthi,17111664
,15.09.2024,Onam,37440618
,16.09.2024,Mila Un Nabi,39316795
,17.09.2024,Puratasi Started,40842040
October (4 Weekends),02.10.2024,Gandhi Jayanti,4399917
,03.10.2024,Navarathri Started,6155190
,11.10.2024,Saraswathi Pooja,22524357
,12.10.2024,Vijaya Dasami,25178983
,17.10.2024,Puratasi Ensd,33960067
,31.10.2024,Diwali,45816279
November (5 Weekends),14.11.2024,Childrens Day,29957061
,16.11.2024,Kathigai Month Started,35460486
December (4 Weekends),15.12.2024,Kathigai Month Ends,40275333
,25.12.2024,Christmas,70247512
